,행정구역,2011년 65세이상 인구 비율,2012년 65세이상 인구 비율,2013년 65세이상 인구 비율,2014년 65세이상 인구 비율,2015년 65세이상 인구 비율,2016년 65세이상 인구 비율,2017년 65세이상 인구 비율,2018년 65세이상 인구 비율,2019년 65세이상 인구 비율,2020년 65세이상 인구 비율
0,서울특별시,10.193002141823174,10.84402664046379,11.45256956449087,12.040987276053121,12.596419881061816,13.049532878927147,13.79570082494152,14.441444237607781,15.1983527367928,15.928518876546102
1,서울특별시 종로구,13.540639735838747,14.363798144146433,14.901605547572938,15.526806927697411,15.970474752558294,16.3352691227404,16.81850487820637,17.35994512135367,18.056712274439818,18.801349765258216
2,서울특별시 중구,13.460166825583928,14.014697060587883,14.679799179856667,15.414047553976495,15.97114520452069,16.277974275243714,16.822980057116038,17.299661960628356,18.208621632546308,19.027821939586644
3,서울특별시 용산구,12.828751201820682,13.479311932640442,14.088178860432135,14.65177091853817,15.150294417635916,15.439039962474101,15.922430081907478,16.249852619443754,16.769143306948877,17.20035163151802
4,서울특별시 성동구,10.860593726202234,11.367004445868547,11.791392310339182,12.349114784218099,12.802900980798174,13.078971726831941,13.500957980105511,13.830660467651457,14.555533768266704,15.29106095923083
5,서울특별시 광진구,8.984879118988214,9.571170414178873,10.141030610391757,10.68049340312753,11.15662002003502,11.559424996150778,12.241999647752465,12.777626216746024,13.57079834922442,14.305702399558701
6,서울특별시 동대문구,12.101421121465664,12.835230056874178,13.427017648851274,13.955956633038848,14.530213548130932,15.011448479028019,15.841287676780352,16.374277406824266,17.091572933095318,17.773564526618973
7,서울특별시 중랑구,10.308090987618773,11.066671436578066,11.741179180322362,12.396021354420347,13.051419514917532,13.586696025595796,14.499076491943189,15.314142293450791,16.38854955102452,17.309979621057735
8,서울특별시 성북구,11.353316665670455,12.036766094505216,12.663531890161126,13.269381580695342,13.746012737466659,14.183921572981314,14.890272601366947,15.519836280708837,15.971760984976843,16.647449848653345
9,서울특별시 강북구,12.593101369640694,13.447780462004271,14.30882739358797,15.14961570032087,15.868021869418175,16.492917067803603,17.39311326773073,18.204747402589263,19.26205749886926,20.27090672137705
10,서울특별시 도봉구,10.88182114105801,11.657051370524748,12.391586861582567,13.128871473442857,13.823232984665843,14.492562173338694,15.528843639406563,16.4772710532596,17.59768659895249,18.744194005769323
11,서울특별시 노원구,9.700461974069842,10.239639377148608,10.793101871531418,11.400012359411692,11.981384760774336,12.477338036333139,13.37979772836727,14.166752490105782,15.172310261678913,16.088154584517948
12,서울특별시 은평구,11.442688307531492,12.094001754805776,12.744311638803953,13.409165657262495,13.980157455012854,14.508134680025067,15.283672354219648,15.989958546928065,16.783672755149656,17.479534665431757
13,서울특별시 서대문구,12.621803259944356,13.251119439693063,13.857884180701028,14.492744284351883,14.870523257117776,15.05534796972571,15.63235294117647,16.127265051738085,16.69214633626053,17.05426356589147
14,서울특별시 마포구,10.884919626283398,11.446168405070663,11.91758149668985,12.21879467308705,12.472300544573228,12.650963958177588,13.164583972367069,13.475633003356643,13.930247169382545,14.3796116816775
15,서울특별시 양천구,8.197357110013796,8.749957149569177,9.318454991391352,9.886039475876196,10.377436371591555,10.87560362457325,11.702330872708286,12.482307700593513,13.346065282158174,14.175214799228474
16,서울특별시 강서구,9.164393960693902,9.805773741653171,10.425782416925863,10.957174106227356,11.508231563436851,11.904414049052454,12.605307375380386,13.308507091895622,14.166875071815287,15.04428115103574
17,서울특별시 구로구,9.696632262531931,10.427348428143713,11.146120612569534,11.886170804849812,12.591093884745504,13.210122835294372,14.17264365465426,15.1064161168068,15.966989947475065,16.83741022094339
18,서울특별시 금천구,10.171378338632424,10.88257538390714,11.595718197659945,12.263118387338915,13.011884003995192,13.584495254603077,14.39142009066399,15.113907924605735,15.976976933980499,16.72187355970313
19,서울특별시 영등포구,10.873257297272817,11.603493030290643,12.228084384080566,12.86353935640457,13.431562149937648,13.811172301025598,14.461809795143129,14.929114846456287,15.491000277416653,15.910337300002661
20,서울특별시 동작구,10.99430006377551,11.59261241309918,12.137580175991626,12.797751981740987,13.334880853432374,13.72878101332429,14.403975599229716,14.95824110367665,15.656513361096872,16.36547970545338
21,서울특별시 관악구,10.016204499645704,10.752367459548132,11.45362798922066,12.130299735378596,12.69015015804561,13.151596820367326,13.854443797598634,14.321545471026404,14.954588537354976,15.591266291463254
22,서울특별시 서초구,8.979758467031395,9.573514403140832,10.085498332816464,10.528867322839899,11.006034505913636,11.38347734306517,12.042339413559676,12.596583485232205,13.238755321173745,13.94195897269776
23,서울특별시 강남구,8.315391278216753,8.898664828065375,9.457078525689363,9.909983152111867,10.440853780171553,10.901139980427251,11.677490812062628,12.34539903090913,13.00440780748722,13.68661158863946
24,서울특별시 송파구,8.108365618161004,8.667315391872117,9.214634620707194,9.761891151100134,10.320580582824222,10.780580422631344,11.503756230285811,12.182228655861154,12.897489648071412,13.719639998746889
25,서울특별시 강동구,8.516009678109942,9.192363267439358,9.872584452365535,10.526083882189774,11.304283365819412,11.959663910952614,12.855809987093759,13.721399620649574,14.525520160892707,14.992642853088473
